uptake_factor,metric,comparison,ratio,ci95_low,ci95_high
0.5,peak_ngu,Burst/Tonic,2.837491331965826,2.8187907717440104,2.8561571636049954
0.5,auc_ngu_ms,Burst/Tonic,1.8989523545346194,1.896301626794181,1.9015277694131014
0.5,time_above_ms,Burst/Tonic,2.1385308918388133,2.0988318461430677,2.1795854898449107
0.5,clearance_ms,Burst/Tonic,2.1064703537738696,2.0945392021346785,2.118783637884379
0.75,peak_ngu,Burst/Tonic,3.1723920442411866,3.1503302838756455,3.194950159521123
0.75,auc_ngu_ms,Burst/Tonic,2.250571487404012,2.248412879031722,2.2527546223176347
0.75,time_above_ms,Burst/Tonic,6.82934804018121,6.626211457913119,7.048279379582096
0.75,clearance_ms,Burst/Tonic,2.336399501236688,2.3184701587205634,2.3550171484056674
1.0,peak_ngu,Burst/Tonic,3.0514790726762095,3.028634723003796,3.074140460856805
1.0,auc_ngu_ms,Burst/Tonic,2.2517637623177067,2.2484352582571527,2.255079584412103
1.0,time_above_ms,Burst/Tonic,9.177462841341168,8.883823514012276,9.491700659289142
1.0,clearance_ms,Burst/Tonic,2.2983846303556037,2.278459271091426,2.318502948604654
1.25,peak_ngu,Burst/Tonic,2.852518458082292,2.8305225231469553,2.8749699259046952
1.25,auc_ngu_ms,Burst/Tonic,2.1666351277922327,2.162867969285531,2.1704603995209504
1.25,time_above_ms,Burst/Tonic,9.665436875731125,9.355178295024478,9.999348492083081
1.25,clearance_ms,Burst/Tonic,2.1997284973371856,2.180064332317462,2.2196418922501087
1.5,peak_ngu,Burst/Tonic,2.645951502312037,2.624245722105948,2.66707128610313
1.5,auc_ngu_ms,Burst/Tonic,2.0622246642168425,2.058366928056891,2.0661775611353073
1.5,time_above_ms,Burst/Tonic,9.64781559903511,9.343542885398271,9.976563746217792
1.5,clearance_ms,Burst/Tonic,2.0883862621541542,2.070254746285784,2.107142246726921
